CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,default,application_year,application_month
greater_200,6,all_credits_paid_back,education,3760,less_100,unemployed,2,female,none,2,savings_insurance,29,none,own,1,management_self-employed,1,none,yes,0,2021,1
less_0,22,prior_payments_delayed,radio_tv,5688,greater_1000,4_to_7,4,female,none,1,unknown,42,none,rent,1,skilled,2,none,no,0,2022,6
less_0,12,prior_payments_delayed,furniture,1064,500_to_1000,4_to_7,2,male,none,3,savings_insurance,26,none,own,2,skilled,1,yes,yes,1,2024,12
no_checking,21,no_credits,appliances,2953,greater_1000,unemployed,2,female,co-applicant,4,unknown,41,none,rent,1,unemployed,1,none,yes,0,2021,1
less_0,14,credits_paid_to_date,car_new,2731,less_100,1_to_4,3,male,none,1,real_estate,27,none,own,1,skilled,1,none,yes,0,2023,8
greater_200,6,all_credits_paid_back,car_new,1421,less_100,1_to_4,3,female,none,1,car_other,59,none,own,1,skilled,2,yes,yes,0,2021,6
0_to_200,33,outstanding_credit,appliances,5280,unknown,greater_7,4,male,none,3,unknown,43,none,own,2,skilled,2,yes,yes,1,2022,7
0_to_200,34,outstanding_credit,appliances,6962,unknown,greater_7,4,male,none,4,unknown,54,none,own,2,skilled,2,yes,yes,1,2021,2
0_to_200,17,credits_paid_to_date,car_new,4151,500_to_1000,1_to_4,2,male,none,1,savings_insurance,42,none,own,2,skilled,1,none,yes,0,2022,9
0_to_200,37,outstanding_credit,appliances,5884,unknown,greater_7,4,male,none,2,unknown,40,none,own,1,skilled,1,yes,yes,1,2024,4
no_checking,31,outstanding_credit,other,5976,unknown,greater_7,4,female,co-applicant,4,unknown,47,stores,rent,2,unskilled,2,yes,yes,1,2022,12
greater_200,30,prior_payments_delayed,vacation,7326,500_to_1000,4_to_7,2,male,none,3,unknown,49,none,own,3,skilled,2,yes,yes,1,2023,8
no_checking,26,outstanding_credit,appliances,6243,500_to_1000,greater_7,4,male,co-applicant,2,car_other,55,none,free,2,skilled,2,yes,yes,1,2022,9
no_checking,27,prior_payments_delayed,appliances,6671,unknown,greater_7,3,male,none,2,car_other,64,none,own,2,skilled,1,yes,yes,0,2021,3
less_0,12,prior_payments_delayed,furniture,4390,less_100,4_to_7,2,male,none,4,savings_insurance,36,none,rent,1,skilled,1,none,yes,1,2021,5
no_checking,30,outstanding_credit,furniture,3740,greater_1000,greater_7,4,male,none,5,car_other,34,none,own,2,skilled,1,none,yes,1,2023,12
0_to_200,8,prior_payments_delayed,car_used,250,less_100,less_1,2,female,none,3,savings_insurance,37,bank,rent,1,unskilled,1,none,yes,0,2021,12
no_checking,26,outstanding_credit,appliances,5282,500_to_1000,4_to_7,3,male,none,4,car_other,36,none,own,1,skilled,1,none,yes,1,2023,9
no_checking,37,outstanding_credit,other,5718,unknown,greater_7,3,female,co-applicant,5,unknown,40,stores,rent,3,unskilled,1,yes,yes,1,2022,4
less_0,6,all_credits_paid_back,car_new,3423,less_100,less_1,1,female,none,1,savings_insurance,32,none,own,1,skilled,1,none,yes,0,2022,3
0_to_200,19,prior_payments_delayed,furniture,250,500_to_1000,4_to_7,4,male,none,2,savings_insurance,30,none,own,2,skilled,2,yes,yes,0,2022,7
no_checking,21,prior_payments_delayed,furniture,1680,100_to_500,1_to_4,3,female,none,4,real_estate,32,stores,own,2,unskilled,1,yes,yes,0,2021,2
no_checking,30,prior_payments_delayed,appliances,3227,500_to_1000,less_1,3,female,co-applicant,4,savings_insurance,24,none,own,2,skilled,1,yes,yes,1,2023,12
no_checking,35,prior_payments_delayed,repairs,6302,500_to_1000,4_to_7,1,male,co-applicant,4,unknown,58,none,own,2,skilled,1,yes,yes,1,2021,11
0_to_200,13,prior_payments_delayed,retraining,7315,500_to_1000,1_to_4,3,male,none,3,unknown,41,none,free,2,skilled,1,yes,yes,1,2024,10
no_checking,40,outstanding_credit,radio_tv,9732,unknown,greater_7,4,male,co-applicant,3,unknown,48,stores,own,3,unemployed,2,yes,yes,1,2023,2
greater_200,28,credits_paid_to_date,car_used,2094,greater_1000,greater_7,4,male,none,5,car_other,44,none,own,2,skilled,1,none,yes,1,2023,2
0_to_200,29,credits_paid_to_date,furniture,4670,less_100,less_1,4,female,co-applicant,3,car_other,50,none,own,2,skilled,1,none,yes,0,2021,7
no_checking,44,prior_payments_delayed,appliances,6965,greater_1000,greater_7,4,male,co-applicant,4,savings_insurance,50,none,free,3,skilled,2,yes,yes,1,2022,8
0_to_200,12,credits_paid_to_date,car_new,3960,less_100,less_1,2,female,none,2,savings_insurance,21,none,own,2,management_self-employed,1,none,yes,0,2022,2
no_checking,24,prior_payments_delayed,radio_tv,6275,500_to_1000,4_to_7,4,male,none,5,savings_insurance,43,none,own,2,management_self-employed,2,yes,yes,0,2022,11
no_checking,9,no_credits,car_new,902,less_100,1_to_4,4,female,none,3,real_estate,57,none,own,3,management_self-employed,2,none,yes,0,2021,8
0_to_200,19,prior_payments_delayed,radio_tv,2156,less_100,4_to_7,3,male,none,2,car_other,39,none,own,2,skilled,2,none,yes,0,2021,4
no_checking,36,prior_payments_delayed,appliances,9912,100_to_500,4_to_7,4,male,co-applicant,2,car_other,52,none,free,2,skilled,1,yes,yes,0,2023,1
greater_200,31,outstanding_credit,appliances,3947,100_to_500,4_to_7,2,male,none,1,car_other,48,bank,own,2,unemployed,1,yes,yes,0,2021,1
no_checking,22,outstanding_credit,appliances,7478,500_to_1000,1_to_4,2,male,none,4,unknown,45,none,own,2,skilled,1,none,yes,0,2023,6
0_to_200,24,credits_paid_to_date,car_new,2822,less_100,4_to_7,1,male,none,3,real_estate,40,none,own,1,management_self-employed,1,none,yes,0,2024,10
no_checking,27,prior_payments_delayed,furniture,6899,100_to_500,greater_7,4,male,none,3,car_other,36,stores,own,2,unskilled,1,none,yes,0,2023,2
no_checking,47,outstanding_credit,other,7143,500_to_1000,greater_7,4,male,co-applicant,3,unknown,48,none,free,2,skilled,2,yes,yes,1,2022,9
less_0,16,credits_paid_to_date,vacation,3926,less_100,4_to_7,2,female,none,1,car_other,33,none,own,2,skilled,1,none,yes,0,2022,3
0_to_200,6,credits_paid_to_date,car_new,3448,500_to_1000,1_to_4,2,male,none,2,savings_insurance,44,none,own,2,skilled,1,none,yes,0,2023,11
0_to_200,6,credits_paid_to_date,car_new,250,less_100,less_1,3,female,none,2,real_estate,37,none,own,1,skilled,1,none,yes,0,2021,12
0_to_200,17,prior_payments_delayed,radio_tv,2597,less_100,greater_7,4,female,none,2,car_other,46,none,free,1,skilled,1,yes,yes,0,2023,8
no_checking,20,outstanding_credit,appliances,778,100_to_500,greater_7,4,male,none,3,car_other,40,none,own,1,management_self-employed,1,none,yes,0,2022,5
0_to_200,23,all_credits_paid_back,radio_tv,2789,500_to_1000,1_to_4,3,male,none,2,savings_insurance,30,none,own,1,skilled,1,none,yes,0,2022,1
less_0,14,credits_paid_to_date,repairs,3980,less_100,1_to_4,2,male,none,3,real_estate,22,none,own,1,skilled,1,none,yes,0,2024,6
less_0,9,all_credits_paid_back,furniture,2319,less_100,less_1,2,female,none,1,car_other,39,bank,own,1,unemployed,1,none,yes,0,2023,10
0_to_200,22,prior_payments_delayed,retraining,7268,500_to_1000,1_to_4,4,male,none,3,unknown,43,none,free,3,skilled,1,yes,yes,1,2024,11
less_0,19,credits_paid_to_date,car_new,2129,less_100,1_to_4,2,female,none,1,savings_insurance,33,stores,own,2,skilled,1,none,yes,0,2022,8
no_checking,12,outstanding_credit,car_used,1218,less_100,4_to_7,3,female,guarantor,1,savings_insurance,38,stores,rent,1,unskilled,1,yes,yes,1,2022,9
less_0,32,prior_payments_delayed,car_used,8427,500_to_1000,1_to_4,4,female,none,5,savings_insurance,65,stores,rent,2,unskilled,2,none,no,1,2024,4
0_to_200,16,prior_payments_delayed,radio_tv,1098,100_to_500,less_1,2,female,none,3,car_other,51,none,rent,1,skilled,2,none,yes,1,2024,4
0_to_200,32,credits_paid_to_date,retraining,4096,less_100,greater_7,3,male,none,2,savings_insurance,38,none,own,1,skilled,1,none,yes,0,2024,12
no_checking,27,outstanding_credit,appliances,8111,500_to_1000,1_to_4,4,male,none,4,unknown,66,none,free,2,management_self-employed,2,yes,yes,1,2024,6
no_checking,9,credits_paid_to_date,car_used,5100,less_100,4_to_7,2,male,none,3,savings_insurance,55,none,own,3,skilled,1,yes,yes,1,2024,3
no_checking,6,prior_payments_delayed,radio_tv,1858,100_to_500,greater_7,3,male,none,4,savings_insurance,44,none,own,2,management_self-employed,1,none,yes,1,2021,3
no_checking,18,no_credits,radio_tv,3204,100_to_500,unemployed,4,female,co-applicant,4,savings_insurance,35,stores,rent,2,management_self-employed,2,yes,yes,0,2021,1
less_0,15,all_credits_paid_back,car_used,1757,less_100,less_1,1,female,none,2,real_estate,19,none,rent,2,skilled,1,none,yes,0,2023,1
no_checking,32,prior_payments_delayed,furniture,9117,100_to_500,4_to_7,4,male,none,4,unknown,57,none,free,3,skilled,1,yes,yes,1,2021,7
no_checking,50,outstanding_credit,appliances,6745,unknown,greater_7,3,male,co-applicant,5,unknown,55,bank,own,3,unemployed,2,yes,yes,1,2023,8
less_0,14,prior_payments_delayed,furniture,2301,500_to_1000,greater_7,4,male,none,1,car_other,36,stores,own,2,skilled,1,none,yes,0,2023,12
0_to_200,30,outstanding_credit,appliances,5723,unknown,greater_7,4,male,none,3,unknown,52,none,own,2,skilled,2,yes,yes,1,2022,4
0_to_200,13,prior_payments_delayed,vacation,5708,less_100,1_to_4,4,male,none,1,unknown,33,none,own,2,management_self-employed,2,none,yes,1,2024,4
0_to_200,28,credits_paid_to_date,furniture,3625,less_100,less_1,4,female,co-applicant,3,car_other,39,none,own,1,skilled,1,none,yes,0,2022,9
less_0,10,prior_payments_delayed,appliances,1106,500_to_1000,4_to_7,3,male,none,3,car_other,29,stores,own,1,skilled,1,none,yes,0,2022,10
less_0,38,outstanding_credit,appliances,1875,100_to_500,1_to_4,4,male,none,3,unknown,33,bank,own,1,unskilled,1,yes,yes,0,2021,2
greater_200,6,all_credits_paid_back,car_new,1929,less_100,1_to_4,4,female,none,1,car_other,50,none,own,2,skilled,2,yes,yes,0,2023,2
0_to_200,39,outstanding_credit,furniture,4308,100_to_500,greater_7,2,male,none,3,unknown,46,none,own,3,skilled,1,yes,yes,1,2022,5
0_to_200,17,prior_payments_delayed,radio_tv,1251,less_100,greater_7,4,female,none,3,car_other,47,none,free,2,skilled,1,yes,yes,0,2023,8
no_checking,42,credits_paid_to_date,appliances,4825,100_to_500,4_to_7,4,female,none,2,savings_insurance,40,none,own,1,skilled,1,none,yes,0,2023,10
no_checking,26,outstanding_credit,furniture,4052,greater_1000,greater_7,4,male,none,5,car_other,29,none,own,2,skilled,1,none,yes,1,2024,5
0_to_200,28,outstanding_credit,appliances,6256,unknown,greater_7,4,male,none,3,unknown,56,none,own,2,skilled,2,yes,yes,1,2024,5
no_checking,64,outstanding_credit,retraining,9854,unknown,4_to_7,4,male,co-applicant,5,unknown,47,none,free,2,skilled,2,yes,yes,1,2023,5
0_to_200,20,credits_paid_to_date,radio_tv,4031,greater_1000,unemployed,3,female,co-applicant,3,car_other,23,stores,free,1,skilled,1,none,yes,0,2021,10
less_0,25,credits_paid_to_date,car_new,1599,less_100,1_to_4,2,male,none,1,real_estate,25,none,own,1,skilled,1,none,yes,0,2022,12
0_to_200,6,all_credits_paid_back,car_used,1081,less_100,1_to_4,1,female,none,1,savings_insurance,19,none,rent,2,skilled,1,none,yes,0,2021,4
0_to_200,24,credits_paid_to_date,retraining,2731,less_100,less_1,3,female,none,3,savings_insurance,41,none,own,1,skilled,2,none,yes,0,2024,12
no_checking,32,outstanding_credit,appliances,7607,500_to_1000,1_to_4,3,male,none,2,unknown,34,none,own,1,skilled,1,none,yes,0,2024,7
no_checking,6,no_credits,car_new,654,less_100,1_to_4,4,female,none,3,real_estate,39,none,own,2,management_self-employed,2,none,yes,0,2022,10
less_0,18,all_credits_paid_back,radio_tv,1298,100_to_500,less_1,1,female,none,1,real_estate,23,none,rent,1,skilled,1,none,yes,0,2023,2
less_0,19,all_credits_paid_back,car_new,318,100_to_500,less_1,1,male,none,1,savings_insurance,19,none,rent,1,skilled,2,none,yes,0,2022,6
greater_200,20,credits_paid_to_date,car_new,250,greater_1000,less_1,1,male,co-applicant,2,real_estate,41,none,own,1,skilled,1,yes,yes,0,2023,5
0_to_200,17,outstanding_credit,appliances,2522,100_to_500,unemployed,4,male,co-applicant,4,car_other,55,none,rent,1,unemployed,1,none,yes,0,2024,1
no_checking,38,outstanding_credit,repairs,7099,unknown,greater_7,4,male,co-applicant,4,car_other,49,none,free,2,management_self-employed,2,yes,yes,1,2021,3
0_to_200,6,all_credits_paid_back,car_used,250,less_100,1_to_4,2,female,none,1,savings_insurance,24,none,rent,1,skilled,1,none,yes,0,2021,1
no_checking,8,credits_paid_to_date,retraining,4167,unknown,1_to_4,2,male,guarantor,1,car_other,26,bank,own,1,unemployed,1,none,yes,1,2023,8
0_to_200,35,credits_paid_to_date,radio_tv,250,less_100,4_to_7,2,male,none,3,real_estate,19,stores,own,1,skilled,1,none,yes,0,2024,8
greater_200,6,all_credits_paid_back,car_new,2412,less_100,1_to_4,4,female,none,2,car_other,51,none,own,2,skilled,2,yes,yes,0,2024,3
less_0,6,credits_paid_to_date,car_new,1478,less_100,1_to_4,1,female,none,1,real_estate,24,stores,own,1,skilled,1,none,yes,0,2021,8
0_to_200,28,credits_paid_to_date,retraining,607,less_100,less_1,2,female,none,1,savings_insurance,27,stores,own,1,skilled,1,none,yes,0,2023,1
no_checking,35,outstanding_credit,radio_tv,11393,unknown,greater_7,4,male,co-applicant,5,unknown,48,stores,own,2,unemployed,2,yes,yes,1,2024,8
less_0,27,all_credits_paid_back,car_new,5198,500_to_1000,4_to_7,2,male,none,1,unknown,35,stores,own,2,unskilled,1,none,yes,0,2024,2
0_to_200,11,credits_paid_to_date,car_new,4690,less_100,less_1,3,female,none,2,savings_insurance,19,none,own,1,management_self-employed,1,none,yes,0,2022,2
no_checking,21,prior_payments_delayed,car_used,8286,100_to_500,1_to_4,3,male,none,5,car_other,40,none,free,2,management_self-employed,1,none,yes,0,2022,1
no_checking,27,prior_payments_delayed,radio_tv,6969,500_to_1000,1_to_4,2,male,none,5,car_other,30,none,own,2,management_self-employed,1,none,yes,0,2023,4
0_to_200,12,credits_paid_to_date,furniture,4925,less_100,less_1,1,female,co-applicant,3,savings_insurance,49,none,own,2,skilled,1,yes,yes,1,2021,5
no_checking,41,outstanding_credit,appliances,8017,unknown,greater_7,4,male,co-applicant,4,unknown,49,stores,own,2,unskilled,2,yes,yes,1,2023,1
no_checking,33,outstanding_credit,repairs,6832,unknown,greater_7,4,male,none,4,unknown,41,none,own,1,skilled,2,none,yes,1,2021,12
no_checking,13,all_credits_paid_back,car_new,1499,500_to_1000,4_to_7,4,male,none,5,real_estate,36,none,own,2,skilled,1,none,yes,0,2024,11
less_0,15,all_credits_paid_back,furniture,1080,less_100,unemployed,1,female,none,2,savings_insurance,34,bank,rent,2,unemployed,2,yes,yes,0,2024,1
no_checking,36,outstanding_credit,repairs,3384,unknown,greater_7,4,male,none,4,savings_insurance,54,none,free,3,skilled,1,yes,yes,1,2021,2
no_checking,15,outstanding_credit,appliances,974,100_to_500,greater_7,4,male,none,4,car_other,38,none,own,1,management_self-employed,1,none,yes,0,2021,5
less_0,40,all_credits_paid_back,retraining,7895,greater_1000,less_1,4,female,co-applicant,4,savings_insurance,50,bank,own,2,unemployed,2,none,yes,1,2021,2
0_to_200,19,outstanding_credit,furniture,2551,100_to_500,1_to_4,4,female,none,5,savings_insurance,41,stores,free,2,skilled,1,yes,yes,0,2024,6
0_to_200,26,outstanding_credit,furniture,428,100_to_500,1_to_4,3,female,none,4,savings_insurance,43,stores,free,3,skilled,1,yes,yes,0,2024,11
less_0,22,prior_payments_delayed,car_used,250,100_to_500,greater_7,3,male,none,3,savings_insurance,36,none,rent,2,skilled,1,none,yes,1,2024,5
0_to_200,23,credits_paid_to_date,car_used,3745,less_100,less_1,3,male,none,2,real_estate,29,none,rent,1,skilled,1,none,yes,0,2022,6
no_checking,23,prior_payments_delayed,education,7000,500_to_1000,greater_7,3,male,none,2,unknown,56,none,own,2,skilled,1,none,yes,1,2021,11
no_checking,24,prior_payments_delayed,car_used,7955,unknown,greater_7,4,male,co-applicant,5,unknown,56,none,free,3,skilled,2,yes,yes,1,2021,12
less_0,18,prior_payments_delayed,appliances,432,less_100,4_to_7,2,male,none,3,savings_insurance,19,stores,own,1,unskilled,1,none,yes,1,2021,9
0_to_200,7,all_credits_paid_back,car_used,2643,less_100,1_to_4,3,female,co-applicant,2,real_estate,22,none,own,1,skilled,1,none,yes,1,2023,5
less_0,10,prior_payments_delayed,furniture,853,less_100,less_1,2,female,none,3,car_other,47,none,rent,1,skilled,1,none,yes,0,2023,5
less_0,6,all_credits_paid_back,car_new,2145,less_100,less_1,2,female,none,2,savings_insurance,29,none,own,1,skilled,1,none,yes,0,2021,5
less_0,11,prior_payments_delayed,vacation,3503,unknown,1_to_4,1,male,guarantor,2,savings_insurance,22,none,free,1,skilled,1,yes,no,0,2021,3
less_0,13,no_credits,car_new,2910,less_100,less_1,2,female,none,1,car_other,36,stores,own,1,skilled,1,none,yes,0,2023,7
less_0,10,all_credits_paid_back,car_used,3552,less_100,1_to_4,3,male,none,1,car_other,28,none,free,1,skilled,1,none,yes,0,2022,10
no_checking,47,outstanding_credit,appliances,7494,unknown,greater_7,4,male,co-applicant,5,unknown,43,bank,own,3,unemployed,2,yes,yes,1,2023,9
less_0,28,prior_payments_delayed,car_used,250,100_to_500,greater_7,2,male,none,3,savings_insurance,37,none,rent,2,skilled,1,none,yes,1,2022,4
less_0,41,outstanding_credit,appliances,3684,100_to_500,1_to_4,3,male,none,4,unknown,32,bank,own,1,unskilled,1,yes,yes,0,2021,9
less_0,23,credits_paid_to_date,radio_tv,800,less_100,1_to_4,1,male,none,2,real_estate,32,stores,own,1,skilled,1,none,yes,0,2021,6
0_to_200,19,credits_paid_to_date,furniture,250,less_100,less_1,1,female,none,2,savings_insurance,38,stores,own,1,skilled,1,none,yes,0,2024,6
no_checking,33,prior_payments_delayed,other,4914,500_to_1000,1_to_4,1,male,none,2,savings_insurance,55,none,own,2,skilled,1,yes,yes,1,2024,10
no_checking,39,outstanding_credit,repairs,3802,unknown,greater_7,4,male,none,5,unknown,54,none,own,2,skilled,1,none,yes,1,2023,11
greater_200,19,prior_payments_delayed,car_new,2745,100_to_500,1_to_4,4,male,co-applicant,4,savings_insurance,31,none,own,1,skilled,1,yes,yes,0,2024,1
no_checking,24,prior_payments_delayed,radio_tv,4460,100_to_500,less_1,4,male,none,5,savings_insurance,37,none,own,1,management_self-employed,2,yes,yes,0,2021,12
no_checking,52,outstanding_credit,other,6657,500_to_1000,greater_7,4,male,co-applicant,4,unknown,58,none,free,1,skilled,2,yes,yes,1,2024,8
less_0,13,all_credits_paid_back,furniture,2772,less_100,less_1,1,female,none,2,car_other,31,bank,own,1,unemployed,1,none,yes,0,2024,10
no_checking,47,outstanding_credit,appliances,7208,greater_1000,greater_7,3,male,co-applicant,2,unknown,43,none,own,2,skilled,1,none,yes,1,2023,9
0_to_200,12,all_credits_paid_back,car_used,1223,less_100,unemployed,3,female,none,2,real_estate,20,none,rent,1,management_self-employed,1,none,yes,0,2022,2
0_to_200,6,credits_paid_to_date,car_new,271,less_100,less_1,1,female,none,2,real_estate,25,none,own,1,skilled,1,none,yes,0,2024,9
0_to_200,24,all_credits_paid_back,car_used,2619,100_to_500,1_to_4,4,male,co-applicant,3,savings_insurance,35,bank,own,2,unemployed,1,yes,no,0,2021,11
less_0,6,all_credits_paid_back,car_used,485,100_to_500,unemployed,2,female,none,2,real_estate,27,bank,rent,1,unemployed,1,none,yes,0,2022,1
less_0,6,all_credits_paid_back,car_used,869,less_100,1_to_4,2,male,none,1,savings_insurance,29,stores,rent,1,skilled,1,none,yes,1,2024,4
0_to_200,13,credits_paid_to_date,car_new,2571,500_to_1000,1_to_4,3,male,none,2,savings_insurance,48,none,own,2,skilled,1,none,yes,0,2023,3
0_to_200,17,prior_payments_delayed,radio_tv,1840,less_100,greater_7,3,female,none,2,car_other,39,none,free,3,skilled,1,yes,yes,0,2022,11
0_to_200,6,prior_payments_delayed,car_used,250,less_100,less_1,4,female,none,3,savings_insurance,36,bank,rent,1,unskilled,1,none,yes,0,2022,8
0_to_200,34,credits_paid_to_date,other,250,100_to_500,less_1,2,female,none,3,savings_insurance,29,none,own,1,skilled,1,none,yes,0,2023,1
no_checking,28,prior_payments_delayed,education,6461,500_to_1000,greater_7,4,male,none,3,unknown,56,none,own,1,skilled,1,none,yes,1,2021,10
less_0,20,all_credits_paid_back,car_used,576,less_100,less_1,2,female,none,1,real_estate,24,none,rent,1,skilled,1,none,yes,0,2024,5
less_0,27,credits_paid_to_date,radio_tv,1034,less_100,1_to_4,3,male,none,3,real_estate,28,stores,own,2,skilled,1,none,yes,0,2024,5
no_checking,46,credits_paid_to_date,education,5150,100_to_500,unemployed,3,male,co-applicant,3,real_estate,49,stores,own,2,unemployed,2,yes,yes,0,2021,2
greater_200,8,credits_paid_to_date,car_used,334,less_100,4_to_7,3,male,none,3,savings_insurance,40,none,rent,1,skilled,1,none,yes,0,2023,9
